id,name,createtime,closedtime,milestone_id,assignee_id,label_str,labels_count
1,"Todo - parse the websites and create the JSON file",1455063442,1456165383,1573893,16072646,"Web App,",1
2,"Create manifest file",1455065711,1455907375,1573934,5252257,"Plugin,",1
3,"Develop the web page that displays the reviews by fetching it from the database",1455068354,1456651894,1573893,14265697,"Web App,",1
4,"Figuring out the programming language for backend implementation - Python/ Java",1455764462,1455826675,1573893,16072646,"Web App,",1
5,"Understanding the data format of the website - google ratings",1455764494,1456155585,1573893,16072646,"Web App,",1
6,"API to crawl and fetch reviews from websites",1455764515,1456091898,1573893,16072646,"Web App,",1
7,"Design the UI - creating and styling the web page",1455764536,1456893419,1573893,5252257,"enhancement,Web App,",2
8,"Selecting the appropriate database - MySQL/ MongoDB/ SQLite",1455773895,1455826479,1573893,,"enhancement,",1
9,"Define the schema for storing the reviews",1455773972,1456621168,1573893,5252257,"Web App,",1
10,"Write javascript code to fetch reviews from multiple websites",1455774138,1456796172,1573934,5252257,"Plugin,",1
11,"Collecting and organizing the resource",1455774191,1456734855,1576386,7080866,"Android,",1
12,"Create sample csv file for review URL from different websites",1455775184,1455828423,1573893,14265697,"Web App,",1
13,"Figuring out the programming language for front-end implementation - Ruby on Rails/ Django framework",1455822086,1456648047,1573893,14265697,"Web App,",1
14,"API implementation for fetching the reviews",1455822188,1456634722,1576386,7080866,"Android,",1
15,"UI - Search option ",1455822317,1460048748,1616971,7080866,"Android,wontfix,",2
16,"Trip Advisor - learning the structure of the DOM ",1455822377,1456155603,1573893,16072646,"Web App,",1
17,"Frame the JSON format to store the ratings and reviews",1455822491,1455898361,1573893,16072646,"Web App,",1
18,"Create logo for plugin",1455825158,1456092324,1573934,5252257,"Plugin,",1
19,"Styling the popup",1455825201,1456093999,1573934,5252257,"Plugin,",1
20,"Choosing the Python API for crawling the websites",1455825520,1455898329,1573893,16072646,"Web App,",1
21,"Javascript routine for popup",1455828230,1456873472,1573934,5252257,"Plugin,",1
22,"Designing the app interface",1455828302,1456133094,1576386,7080866,"Android,",1
23,"Write API for filtering the reviews",1455828318,1456735058,1576386,7080866,"Android,duplicate,",2
24,"API implementation for updating the reviews from each website",1455828722,1456742491,1573893,14265697,"enhancement,",1
25,"UI - Search functionality to filter the reviews",1455828824,1456796098,1573893,5252257,"enhancement,Web App,",2
26,"Design the popup html ",1455828882,1456132201,1573934,5252257,"Plugin,",1
27,"Creating the manifest file",1455828939,1456132771,1576386,7080866,"Android,",1
28,"Python implementation to read the contents in csv file",1455891685,1456155566,1573893,16072646,"Web App,",1
29,"Unable to crawl google ratings page",1455904135,1456647977,1573893,,"help wanted,",1
30,"API implementation for storing the crawled data",1455926219,1456733522,1573893,14265697,"Web App,",1
31,"Code to retrieve reviews from database",1455926247,1456651778,1573893,5252257,"Web App,",1
32,"Create files - dimension.xml, strings.xml and style.xml",1455959071,1456634420,1576386,,"Android,",1
33,"Testing the app in the emulator",1455959095,1456634210,1576386,7080866,"Android,",1
34,"add foursquare links for reviews",1456091026,1456091227,1573893,14265697,"Android,Plugin,Web App,",3
35,"Create the rails app for webscrapper frontend",1456124944,1456125075,1573893,14265697,"Web App,",1
36,"data/json file location? ",1456133382,1456634163,1576386,,"Android,",1
37,"Crawl the yelp for reviews",1456165412,1456410145,1573893,16072646,"Web App,",1
38,"Fetch the reviews and scale from foursquare",1456165440,1456410181,1573893,16072646,"Web App,",1
39,"Parse tripadvisor for the reviews of the restaurants",1456165469,1456410134,1573893,16072646,"Web App,",1
